Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Puck,0.0,0.4883868134825029,2.7499791891695406,429.06984816541086,524.0195428149251,7
Razor,0.0,0.4931205388838543,2.6033775845022027,410.0074719885401,499.3478799592678,7
Sand King,0.0,0.498789658415002,2.633854928524637,409.3630194694597,501.8473077435842,7
Storm Spirit,0.0,0.5000392218615605,2.9576056454158475,438.80283187885624,544.7831823331431,7
Sven,0.0,0.5080859500536004,2.8940999020165665,473.658195560578,553.8742048261932,7
Vengeful Spirit,0.0,0.5078786327523337,2.671374986621384,407.07141848837676,502.3759012677983,7
Windranger,0.0,0.4954414682625262,2.7157827642734977,440.283855559298,528.715417297354,7
Zeus,0.0,0.5048177751648079,3.1422629148557975,435.6832129023934,531.4294648188024,7
Kunkka,0.0,0.5121740106218583,2.850499244626574,394.4984981273988,483.56293489040036,7
Lina,0.0,0.4795649567348451,2.5528585604262664,407.74094279197107,497.1782034304938,7
Lich,0.0,0.5090640731833567,2.7598092802950602,414.0019040730441,507.0862238707501,7
Lion,0.0,0.4957437027610597,2.860431331346486,460.90335623096,550.4094053237783,7
Slardar,0.0,0.5040944210411588,2.783550141842406,417.15734008997885,520.3295268078986,7
Tidehunter,0.0,0.4983125192510092,2.9588634743739486,427.590657858527,536.6296441266073,7
Witch Doctor,0.0,0.49649789066049593,2.3294537261706503,365.9255086711224,465.3399430230434,7
Tinker,0.0,0.5011986897990599,2.967326297328777,432.4696160356233,533.0838074003273,7
Sniper,0.0,0.5037513950226868,2.8047669373776616,424.1451656941027,507.30376420254186,7
Necrophos,0.0,0.5091721060140926,2.615067841220075,412.8319596148459,497.9460794380796,7
Warlock,0.0,0.513781220222934,2.7396309207618654,386.52791019782586,477.7740896104848,7
Beastmaster,0.0,0.500119855278929,2.7011144691874684,422.2630344399594,515.6789705924806,7
Queen of Pain,0.0,0.4909392265907277,2.7706621288626407,443.17773467149044,528.051867252989,7
Faceless Void,0.0,0.497384986669452,2.913835412558061,437.51590863079156,532.082150519102,7
Wraith King,0.0,0.5123698677230332,2.911840215810748,425.92879829534996,513.3480163639772,7
Death Prophet,0.0,0.5003231984250048,2.7219833359746675,406.4749853670272,500.453034132023,7
Phantom Assassin,0.0,0.5072388117341727,2.74248666670684,428.2391313124893,518.0241630183165,7
Pugna,0.0,0.4993951927316038,2.7333817171275934,418.300930644828,505.224875683585,7
Templar Assassin,0.0,0.49279596444906687,2.8424380122004655,435.411758666765,537.5110333756951,7
Viper,0.0,0.5073509991856477,2.810971962925944,412.89972391085604,511.01236835564015,7
Luna,0.0,0.5166366572641248,2.9802130695401323,479.80224351359414,554.9805488031691,7
Dragon Knight,0.0,0.5056969618974188,2.9180236426990325,434.8555299587502,525.5631080217449,7
Dazzle,0.0,0.5140540963455712,2.536299407983563,340.77219932004454,437.57470855355854,7
Leshrac,0.0,0.5070768436640136,2.6629118478622287,397.7071673180327,491.7394244961636,7
Lifestealer,0.0,0.4976264709974079,2.8153184176164596,455.4961307469583,546.9489885525661,7
Dark Seer,0.0,0.5064288444970315,2.8531247993830684,439.7269759587156,513.6444976285946,7
Clinkz,0.0,0.5067359746878971,2.650960472940898,403.10100656200837,497.3816354648049,7
Omniknight,0.0,0.5096761000807105,2.758746412646605,398.1515520545745,493.2421816551888,7
Enchantress,0.0,0.48018481706343635,2.618719494298935,413.4770040417964,496.6894854756545,7
Huskar,0.0,0.5137446837369744,2.580539557924964,402.31995730296956,496.450608927783,7
Broodmother,0.0,0.5018949338183262,2.771444697675091,425.669384593472,523.1297757844351,7
Weaver,0.0,0.5032872388782604,2.699561269078844,414.70350099708304,506.08456292517957,7
Jakiro,0.0,0.509554835711454,2.6489523035897955,404.3949416403988,492.4547793083827,7
Batrider,0.0,0.4885008942259195,2.690595844935324,382.3847270782127,483.4689597447503,7
Spectre,0.0,0.5142736853945729,3.269569289667578,446.49243086292665,539.7597626550735,7
Doom,0.0,0.4919108921203745,2.6666243345811718,450.24973390153764,513.9832544680979,7
Ancient Apparition,0.0,0.5049029164117288,2.704624646545463,368.8036189926465,460.6513264530171,7
Ursa,0.0,0.5107881656899806,2.6823525644825756,387.6587964727934,487.07562762709625,7
Gyrocopter,0.0,0.49170397212124134,2.7260892627800284,429.37937986274426,508.895233606332,7
Alchemist,0.0,0.49787012447801554,2.6626131460935554,520.8507244063754,542.0170831170844,7
Invoker,0.0,0.4944914217271293,2.880494009774234,430.7702256040198,524.3215424533001,7
Silencer,0.0,0.4959180719537448,2.7692253843467287,419.5716820976839,510.35948810947235,7
Outworld Destroyer,0.0,0.5050915792083173,2.819005433029519,419.46675552681467,511.13626735172517,7
Lycanthrope,0.0,0.4975461212426441,2.9639281789445167,450.2194289164121,555.1121781682301,7
Brewmaster,0.0,0.5031571897927251,2.7058321794102413,410.5446977004902,512.4397979142298,7
Shadow Demon,0.0,0.4985553907454752,2.7032909616679794,420.5579265706328,509.37596446319554,7
Lone Druid,0.0,0.4905774174238266,2.667929535505329,424.2313962662677,503.4989819644306,7
Chaos Knight,0.0,0.4992885624637721,2.7741937007868347,440.411587631192,527.2513003471169,7
Meepo,0.0,0.500103703001708,2.592805152704706,446.8396659985903,556.3915416898938,7
Treant Protector,0.0,0.5033743257108209,2.7679074491216125,432.52239586746094,527.7698907419457,7
Ogre Magi,0.0,0.5062928878507751,2.8022932834680887,434.81188056272737,523.2650737680426,7
Undying,0.0,0.5069239040870761,2.7726398147281834,403.97199248663964,495.4844340135322,7
Rubick,0.0,0.5055209851261456,2.80199596670175,395.5501671286708,492.1146972031332,7
Disruptor,0.0,0.502602949597276,2.618834052300915,366.9715989456757,466.5707752455945,7
Nyx Assassin,0.0,0.5051626621374752,2.6087672958557184,380.3979005244511,483.8630028661342,7
Naga Siren,0.0,0.5001205208047171,2.72526310591146,419.0681817455361,505.69507467326923,7
Keeper of the Light,0.0,0.4995208562650965,2.757882499061195,430.500584140922,518.4127088727137,7
Visage,0.0,0.5042975304855398,2.7079629939234477,411.40040694309397,504.16952136274875,7
Slark,0.0,0.4962335827524238,2.7860313803468224,434.8074419335291,529.8723443856973,7
Medusa,0.0,0.5048665519444243,2.834455760209734,416.50930052614103,509.8319647976278,7
Troll Warlord,0.0,0.503321346150846,2.7000034434800173,438.6738394260857,528.2662595800047,7
